Date,Time,Transport_Mode,Route,Start_Location,End_Location,Distance_km,Passenger_Count,Delay_Duration_min,CO2_Emissions_kg,Satisfaction_Score
2025-01-10,05:30,Metro,M-Blue,North District,East District,10.6,441,0,0.32,3.0
2025-01-10,07:00,Bus,B-31,City Center,East District,14.3,15,6,1.43,3.0
2025-01-10,07:00,Bus,B-71,South District,East District,10.0,15,8,1.0,3.0
2025-01-10,09:00,Metro,M-Green,North District,West District,18.9,289,1,0.57,3.0
2025-01-10,11:15,Tram,T-14,East District,City Center,5.0,76,0,0.2,3.0
2025-01-10,20:30,Rail,R-Local,West District,South District,32.9,521,3,1.65,2.0
2025-01-11,06:15,Bus,B-38,East District,North District,4.4,78,22,0.44,3.0
2025-01-11,09:15,Metro,M-Blue,City Center,North District,5.6,323,7,0.17,3.0
2025-01-11,12:15,Bus,B-73,City Center,South District,8.6,50,0,0.86,3.0
2025-01-11,14:45,Bus,B-19,South District,North District,2.7,22,13,0.27,3.0
2025-01-11,19:00,Bus,B-75,East District,City Center,5.7,27,0,0.57,3.0
2025-01-11,19:15,Metro,M-Yellow,City Center,West District,20.2,372,9,0.61,5.0
2025-01-11,20:45,Bus,B-77,West District,North District,3.8,17,4,0.38,3.0
2025-01-12,11:00,Tram,T-9,North District,City Center,8.9,61,0,0.36,1.0
2025-01-12,17:30,Bus,B-85,East District,City Center,2.4,44,0,0.24,5.0
2025-01-13,06:15,Bus,B-61,City Center,North District,2.2,8,6,0.22,5.0
2025-01-13,07:00,Tram,T-11,North District,South District,6.6,107,9,0.26,4.0
2025-01-13,10:00,Bus,B-95,East District,North District,13.5,16,17,1.35,5.0
2025-01-13,18:15,Tram,T-10,North District,West District,4.4,75,2,0.18,3.0
2025-01-13,20:00,Metro,M-Red,West District,City Center,29.4,240,1,0.88,4.0
2025-01-14,06:30,Tram,T-8,North District,East District,5.9,28,3,0.24,3.0
2025-01-14,07:00,Bus,B-50,City Center,South District,12.8,13,22,1.28,2.0
2025-01-14,07:45,Tram,T-9,North District,West District,5.8,55,4,0.23,3.0
2025-01-14,09:15,Bus,B-65,West District,South District,11.1,38,8,1.11,2.0
2025-01-14,09:30,Tram,T-2,City Center,South District,4.7,87,8,0.19,3.0
2025-01-14,10:30,Shared Cycling,Cycle-Share,South District,City Center,2.4,1,0,0.0,4.0
2025-01-14,12:30,Bus,B-24,South District,West District,13.1,35,18,1.31,4.0
2025-01-14,17:15,Metro,M-Blue,West District,City Center,12.0,190,13,0.36,5.0
2025-01-14,19:15,Metro,M-Blue,East District,City Center,19.3,349,1,0.58,4.0
2025-01-14,22:15,Rail,R-Local,West District,South District,27.9,549,26,1.4,5.0
2025-01-14,23:45,Metro,M-Green,West District,East District,7.3,363,0,0.22,4.0
2025-01-15,11:00,Rail,R-Express,South District,East District,66.6,546,0,3.33,3.0
2025-01-15,11:45,Metro,M-Yellow,North District,East District,15.6,238,7,0.47,4.0
2025-01-15,12:00,Bus,B-65,North District,South District,14.9,62,27,1.49,3.0
2025-01-15,15:00,Metro,M-Red,South District,East District,5.6,271,0,0.17,3.0
2025-01-15,16:00,Rail,R-Local,East District,West District,29.4,591,0,1.47,3.0
2025-01-15,18:30,Bus,B-32,City Center,South District,7.6,44,0,0.76,5.0
2025-01-15,18:30,Tram,T-13,South District,City Center,4.1,86,10,0.16,3.0
2025-01-15,19:45,Metro,M-Blue,East District,South District,13.1,519,5,0.39,3.0
2025-01-16,06:45,Tram,T-1,South District,East District,2.6,83,3,0.1,2.0
2025-01-16,12:30,Bus,B-70,South District,West District,11.3,29,3,1.13,2.0
2025-01-16,13:45,Metro,M-Yellow,East District,West District,17.5,149,0,0.53,5.0
2025-01-16,17:00,Bus,B-65,East District,West District,6.8,44,13,0.68,2.0
2025-01-16,18:30,Bus,B-15,South District,East District,7.6,56,20,0.76,3.0
2025-01-16,22:45,Metro,M-Green,South District,East District,9.1,343,0,0.27,4.0
2025-01-17,13:30,Bus,B-45,West District,South District,13.4,26,3,1.34,2.0
2025-01-17,14:45,Metro,M-Yellow,City Center,West District,22.0,282,1,0.66,
2025-01-17,16:00,Bus,B-24,City Center,North District,11.6,1,6,1.16,3.0
2025-01-17,17:15,Bus,B-15,City Center,East District,4.1,47,15,0.41,2.0
2025-01-17,19:45,Tram,T-5,South District,City Center,9.3,68,0,0.37,5.0
2025-01-17,21:15,Bus,B-11,North District,City Center,9.5,37,0,0.95,3.0
2025-01-17,22:45,Bus,B-71,City Center,West District,10.0,41,15,1.0,5.0
2025-01-18,12:00,Bus,B-36,City Center,East District,13.6,73,5,1.36,1.0
2025-01-18,17:00,Bus,B-43,East District,City Center,11.6,36,10,1.16,2.0
2025-01-19,07:00,Bus,B-11,North District,City Center,8.1,41,5,0.81,4.0
2025-01-19,10:30,Rail,R-Local,West District,City Center,77.7,496,0,3.89,2.0
2025-01-19,13:00,Bus,B-46,South District,West District,9.5,33,0,0.95,2.0
2025-01-19,17:30,Metro,M-Green,South District,West District,16.8,463,1,0.5,3.0
2025-01-19,21:45,Tram,T-4,West District,North District,9.6,72,9,0.38,3.0
2025-01-19,23:15,Metro,M-Red,East District,North District,6.8,148,0,0.2,2.0
2025-01-20,06:15,Rail,R-Express,North District,East District,37.6,168,31,1.88,3.0
2025-01-20,09:00,Tram,T-11,City Center,North District,4.7,69,14,0.19,3.0
2025-01-20,15:45,Bus,B-11,North District,South District,14.3,47,0,1.43,4.0
2025-01-20,16:00,Rail,R-Express,North District,South District,64.2,493,10,3.21,4.0
2025-01-20,16:30,Shared Cycling,Cycle-Share,West District,North District,4.1,1,0,0.0,4.0
2025-01-20,18:30,Metro,M-Green,City Center,West District,5.7,304,5,0.17,3.0
2025-01-20,23:15,Bus,B-48,City Center,North District,13.4,49,19,1.34,4.0
2025-01-21,07:15,Tram,T-11,City Center,South District,4.8,46,0,0.19,
2025-01-21,08:45,Bus,B-10,North District,West District,13.7,37,11,1.37,3.0
2025-01-21,10:00,Bus,B-42,North District,South District,14.2,38,10,1.42,2.0
2025-01-21,11:15,Tram,T-10,South District,East District,9.6,36,9,0.38,1.0
2025-01-21,11:45,Bus,B-11,City Center,East District,12.0,53,2,1.2,4.0
2025-01-21,21:45,Shared Cycling,Cycle-Share,South District,East District,4.6,1,0,0.0,5.0
2025-01-21,21:45,Bus,B-50,North District,East District,3.7,13,5,0.37,1.0
2025-01-21,22:30,Bus,B-49,East District,North District,2.1,31,3,0.21,3.0
2025-01-22,05:15,Bus,B-69,East District,City Center,6.0,12,11,0.6,3.0
2025-01-22,06:15,Bus,B-19,South District,East District,10.3,33,0,1.03,2.0
2025-01-22,10:30,Tram,T-11,East District,West District,7.5,39,5,0.3,3.0
2025-01-22,16:00,Bus,B-60,South District,East District,10.3,40,0,1.03,3.0
2025-01-22,16:15,Bus,B-55,South District,City Center,13.9,30,10,1.39,1.0
2025-01-22,16:45,Bus,B-99,West District,South District,12.6,57,0,1.26,2.0
2025-01-22,17:15,Bus,B-87,East District,North District,13.8,43,0,1.38,3.0
2025-01-23,06:00,Metro,M-Green,South District,North District,29.4,337,0,0.88,3.0
2025-01-23,10:00,Bus,B-83,City Center,North District,10.5,26,6,1.05,3.0
2025-01-23,13:00,Tram,T-13,West District,North District,4.7,65,0,0.19,5.0
2025-01-23,13:30,Metro,M-Blue,East District,City Center,11.5,308,6,0.34,3.0
2025-01-23,19:15,Bus,B-80,East District,West District,2.8,35,4,0.28,3.0
2025-01-23,19:45,Rail,R-Express,West District,City Center,78.4,283,0,3.92,3.0
2025-01-23,23:00,Metro,M-Yellow,City Center,West District,17.8,153,0,0.53,4.0
2025-01-23,23:00,Shared Cycling,Cycle-Share,West District,South District,4.1,1,0,0.0,
2025-01-23,23:15,Rail,R-Local,East District,West District,36.4,312,13,1.82,1.0
2025-01-24,05:00,Bus,B-40,South District,City Center,12.4,45,20,1.24,2.0
2025-01-24,07:45,Bus,B-61,West District,South District,2.5,23,11,0.25,3.0
2025-01-24,09:15,Bus,B-64,South District,North District,11.1,34,0,1.11,3.0
2025-01-24,09:45,Bus,B-76,East District,West District,6.1,43,2,0.61,4.0
2025-01-24,16:30,Bus,B-28,West District,North District,13.7,64,0,1.37,4.0
2025-01-24,17:30,Metro,M-Blue,South District,North District,24.2,302,0,0.73,4.0
2025-01-24,18:00,Bus,B-83,North District,South District,5.5,54,21,0.55,4.0
2025-01-24,21:00,Bus,B-45,City Center,West District,6.1,57,6,0.61,3.0
2025-01-24,22:45,Rail,R-Local,West District,East District,50.0,373,6,2.5,4.0
2025-01-25,10:00,Bus,B-17,East District,South District,3.0,48,0,0.3,1.0
2025-01-25,12:30,Bus,B-30,East District,City Center,10.1,49,11,1.01,2.0
2025-01-25,16:45,Metro,M-Green,West District,North District,13.3,243,0,0.4,3.0
2025-01-25,17:30,Bus,B-52,East District,South District,8.7,62,4,0.87,5.0
2025-01-26,09:00,Metro,M-Yellow,North District,South District,23.3,443,3,0.7,2.0
2025-01-26,12:15,Metro,M-Yellow,South District,East District,7.3,313,1,0.22,3.0
2025-01-26,13:00,Shared Cycling,Cycle-Share,City Center,North District,2.6,1,0,0.0,3.0
2025-01-26,14:30,Metro,M-Green,North District,City Center,19.7,296,0,0.59,4.0
2025-01-26,15:00,Metro,M-Blue,East District,West District,13.5,245,11,0.4,4.0
2025-01-26,16:15,Bus,B-34,South District,West District,14.5,53,17,1.45,4.0
2025-01-26,16:15,Metro,M-Red,City Center,North District,26.8,262,6,0.8,3.0
2025-01-26,20:00,Tram,T-14,North District,West District,3.0,178,0,0.12,5.0
2025-01-26,20:45,Bus,B-26,North District,South District,4.0,34,0,0.4,2.0
2025-01-27,06:00,Tram,T-9,West District,East District,4.7,101,3,0.19,3.0
2025-01-27,08:00,Bus,B-65,West District,South District,9.4,47,3,0.94,4.0
2025-01-27,09:15,Bus,B-60,East District,North District,8.1,48,2,0.81,3.0
2025-01-27,09:45,Metro,M-Blue,West District,South District,13.0,339,6,0.39,3.0
2025-01-27,10:45,Bus,B-94,East District,West District,8.3,40,11,0.83,4.0
2025-01-27,16:00,Metro,M-Blue,North District,South District,19.1,372,0,0.57,3.0
2025-01-27,17:00,Bus,B-52,East District,West District,5.0,6,0,0.5,3.0
2025-01-27,17:45,Tram,T-9,East District,North District,7.9,12,5,0.32,3.0
2025-01-27,18:00,Metro,M-Red,North District,South District,14.1,269,5,0.42,3.0
2025-01-27,19:00,Metro,M-Red,City Center,West District,22.8,345,0,0.68,3.0
2025-01-27,23:15,Bus,B-42,North District,South District,7.9,18,16,0.79,4.0
2025-01-28,07:30,Bus,B-64,West District,North District,10.3,24,19,1.03,5.0
2025-01-28,07:30,Metro,M-Yellow,West District,North District,26.9,351,10,0.81,
2025-01-28,08:00,Metro,M-Green,North District,South District,10.7,190,0,0.32,3.0
2025-01-28,10:45,Metro,M-Green,West District,North District,9.6,112,12,0.29,3.0
2025-01-28,17:15,Rail,R-Express,City Center,East District,46.0,295,0,2.3,3.0
2025-01-29,18:45,Metro,M-Blue,East District,South District,20.7,267,3,0.62,4.0
2025-01-29,20:15,Bus,B-51,South District,West District,3.8,25,0,0.38,1.0
2025-01-29,20:15,Bus,B-62,City Center,West District,11.2,10,3,1.12,1.0
2025-01-29,22:45,Bus,B-55,West District,City Center,6.1,37,30,0.61,2.0
2025-01-29,23:00,Bus,B-94,North District,City Center,11.4,18,4,1.14,2.0
2025-01-30,08:30,Metro,M-Yellow,East District,South District,27.0,233,3,0.81,3.0
2025-01-30,09:30,Metro,M-Blue,East District,North District,19.6,292,1,0.59,4.0
2025-01-30,11:45,Tram,T-14,City Center,North District,6.9,84,0,0.28,4.0
2025-01-30,16:00,Metro,M-Blue,City Center,East District,13.2,376,3,0.4,4.0
2025-01-30,21:45,Metro,M-Red,City Center,West District,10.2,335,0,0.31,4.0
2025-01-30,22:45,Metro,M-Yellow,South District,City Center,8.2,348,4,0.25,4.0
2025-01-31,09:00,Tram,T-4,North District,South District,2.3,49,0,0.09,3.0
2025-01-31,09:15,Bus,B-32,North District,East District,12.7,35,16,1.27,4.0
2025-01-31,15:45,Metro,M-Red,City Center,East District,23.9,329,0,0.72,5.0
2025-01-31,19:15,Metro,M-Green,West District,City Center,26.3,129,0,0.79,
2025-01-31,23:15,Metro,M-Blue,West District,East District,5.0,234,0,0.15,3.0
2025-01-31,23:45,Bus,B-10,South District,West District,3.0,77,2,0.3,2.0
2025-02-01,07:15,Tram,T-6,West District,City Center,2.0,88,12,0.08,4.0
2025-02-01,11:45,Metro,M-Blue,East District,South District,24.3,207,0,0.73,3.0
2025-02-01,12:00,Bus,B-28,West District,East District,13.7,46,8,1.37,2.0
2025-02-01,15:00,Bus,B-15,West District,South District,14.7,41,12,1.47,2.0
2025-02-01,17:45,Bus,B-86,East District,West District,7.6,32,18,0.76,3.0
2025-02-01,21:00,Bus,B-73,West District,East District,5.9,38,22,0.59,2.0
2025-02-02,05:45,Bus,B-86,South District,North District,9.4,33,25,0.94,2.0
2025-02-02,06:30,Bus,B-81,South District,North District,4.9,31,6,0.49,4.0
2025-02-02,08:30,Rail,R-Local,North District,South District,28.2,330,23,1.41,2.0
2025-02-02,15:00,Metro,M-Green,West District,East District,14.4,427,5,0.43,3.0
2025-02-02,16:15,Tram,T-10,East District,North District,5.5,113,8,0.22,3.0
2025-02-02,20:00,Bus,B-92,East District,South District,12.5,41,31,1.25,3.0
2025-02-02,20:15,Bus,B-51,City Center,East District,14.8,43,0,1.48,3.0
2025-02-03,12:00,Tram,T-1,West District,City Center,9.6,83,2,0.38,2.0
2025-02-03,18:15,Metro,M-Green,West District,East District,29.2,334,0,0.88,3.0
2025-02-03,18:45,Bus,B-55,South District,East District,8.5,50,3,0.85,2.0
2025-02-03,19:30,Tram,T-1,West District,East District,8.9,88,6,0.36,4.0
2025-02-03,23:45,Rail,R-Express,North District,West District,43.0,387,19,2.15,2.0
2025-02-03,23:45,Tram,T-12,West District,South District,4.0,36,5,0.16,3.0
2025-02-04,05:00,Tram,T-11,South District,North District,3.9,32,3,0.16,4.0
2025-02-04,05:30,Bus,B-67,East District,City Center,8.1,54,13,0.81,3.0
2025-02-04,14:15,Bus,B-84,East District,City Center,13.2,35,8,1.32,4.0
2025-02-04,17:00,Metro,M-Green,South District,West District,27.8,251,0,0.83,3.0
2025-02-04,18:15,Bus,B-16,East District,North District,2.4,34,0,0.24,4.0
2025-02-04,22:30,Tram,T-14,West District,East District,7.1,102,0,0.28,5.0
2025-02-04,23:15,Tram,T-3,City Center,South District,8.7,62,3,0.35,3.0
2025-02-05,05:00,Bus,B-37,North District,East District,6.0,34,0,0.6,3.0
2025-02-05,07:15,Bus,B-72,East District,West District,2.4,70,0,0.24,3.0
2025-02-05,07:30,Tram,T-8,North District,West District,6.2,78,3,0.25,4.0
2025-02-05,07:45,Tram,T-5,North District,East District,2.7,115,2,0.11,3.0
2025-02-05,08:15,Tram,T-15,East District,West District,5.4,84,3,0.22,3.0
2025-02-05,09:30,Metro,M-Red,North District,West District,23.6,409,0,0.71,2.0
2025-02-05,11:30,Bus,B-76,West District,East District,11.4,56,7,1.14,3.0
2025-02-05,15:30,Bus,B-56,South District,North District,11.4,34,4,1.14,2.0
2025-02-05,16:00,Metro,M-Yellow,South District,North District,25.9,325,0,0.78,3.0
2025-02-05,18:15,Tram,T-6,West District,North District,5.3,91,3,0.21,3.0
2025-02-05,20:15,Bus,B-41,South District,City Center,4.3,34,8,0.43,3.0
2025-02-05,21:45,Shared Cycling,Cycle-Share,East District,North District,3.4,1,0,0.0,5.0
2025-02-06,05:45,Metro,M-Blue,South District,City Center,7.2,322,5,0.22,3.0
2025-02-06,06:00,Metro,M-Green,North District,East District,27.0,317,4,0.81,3.0
2025-02-06,15:30,Tram,T-12,East District,City Center,8.9,97,2,0.36,4.0
2025-02-06,19:15,Bus,B-42,South District,City Center,9.8,27,0,0.98,2.0
2025-02-06,21:30,Bus,B-21,City Center,West District,7.2,25,9,0.72,4.0
2025-02-06,23:15,Tram,T-13,City Center,South District,9.7,122,9,0.39,3.0
2025-02-07,05:00,Bus,B-86,North District,East District,10.7,46,19,1.07,2.0
2025-02-07,05:15,Metro,M-Green,West District,North District,26.9,136,4,0.81,3.0
2025-02-07,06:15,Metro,M-Green,North District,West District,29.4,234,0,0.88,4.0
2025-02-07,06:30,Rail,R-Local,West District,North District,71.7,334,34,3.59,2.0
2025-02-07,06:45,Bus,B-88,South District,West District,11.4,34,14,1.14,3.0
2025-02-07,07:15,Rail,R-Local,West District,South District,78.2,228,20,3.91,3.0
2025-02-07,12:15,Metro,M-Green,East District,South District,8.5,378,0,0.26,1.0
2025-02-07,15:45,Bus,B-35,West District,East District,2.1,25,2,0.21,4.0
2025-02-07,20:15,Bus,B-71,North District,West District,5.3,59,0,0.53,2.0
2025-02-07,22:15,Bus,B-31,West District,South District,4.5,45,0,0.45,2.0
2025-02-07,22:45,Metro,M-Green,West District,North District,5.1,498,5,0.15,4.0
2025-02-07,23:45,Rail,R-Express,West District,City Center,79.4,338,25,3.97,1.0
2025-02-08,10:15,Bus,B-45,West District,North District,7.9,56,0,0.79,1.0
2025-02-08,11:30,Bus,B-61,North District,West District,8.3,37,0,0.83,3.0
2025-02-08,13:00,Tram,T-5,City Center,East District,6.9,111,10,0.28,3.0
2025-02-08,17:30,Bus,B-47,City Center,North District,13.0,21,0,1.3,3.0
2025-02-08,19:30,Metro,M-Yellow,South District,North District,20.2,223,1,0.61,
2025-02-08,19:45,Metro,M-Blue,South District,East District,7.3,226,5,0.22,3.0
2025-02-08,20:30,Bus,B-48,South District,West District,3.3,26,0,0.33,2.0
2025-02-08,23:15,Bus,B-85,South District,City Center,5.2,29,0,0.52,3.0
2025-02-09,06:30,Metro,M-Blue,East District,North District,25.7,207,0,0.77,4.0
2025-02-09,07:30,Bus,B-46,West District,North District,6.3,34,38,0.63,4.0
2025-02-09,08:30,Metro,M-Blue,West District,North District,20.0,247,7,0.6,2.0
2025-02-09,09:00,Metro,M-Green,West District,City Center,13.4,400,9,0.4,2.0
2025-02-09,17:45,Metro,M-Green,East District,West District,7.7,281,2,0.23,3.0
2025-02-09,23:45,Metro,M-Red,North District,East District,23.0,435,0,0.69,4.0
2025-02-10,06:00,Tram,T-8,East District,City Center,6.9,120,0,0.28,2.0
2025-02-10,07:00,Rail,R-Local,East District,North District,26.6,272,10,1.33,5.0
2025-02-10,12:30,Bus,B-90,East District,West District,2.7,25,0,0.27,2.0
2025-02-10,13:15,Rail,R-Express,East District,North District,53.4,249,19,2.67,2.0
2025-02-10,19:00,Metro,M-Blue,East District,South District,12.2,566,2,0.37,4.0
2025-02-10,19:30,Tram,T-12,East District,South District,5.7,64,0,0.23,3.0
2025-02-10,19:30,Rail,R-Local,City Center,East District,51.6,600,0,2.58,4.0
2025-02-10,20:45,Metro,M-Green,West District,East District,7.0,112,0,0.21,2.0
2025-02-10,22:45,Bus,B-97,North District,South District,14.9,43,0,1.49,3.0
2025-02-11,08:00,Metro,M-Red,North District,City Center,5.2,248,5,0.16,5.0
2025-02-11,08:45,Bus,B-58,East District,City Center,9.4,50,5,0.94,4.0
2025-02-11,08:45,Bus,B-38,West District,North District,7.1,44,0,0.71,4.0
2025-02-11,09:00,Bus,B-23,City Center,North District,7.5,33,6,0.75,5.0
2025-02-11,09:45,Metro,M-Green,South District,West District,23.0,1,3,0.69,4.0
2025-02-11,09:45,Bus,B-81,East District,City Center,11.1,53,11,1.11,2.0
2025-02-11,10:30,Metro,M-Green,City Center,West District,12.6,429,0,0.38,3.0
2025-02-11,11:30,Metro,M-Yellow,West District,North District,28.7,279,2,0.86,3.0
2025-02-11,14:30,Bus,B-67,City Center,South District,7.5,30,21,0.75,2.0
2025-02-11,15:30,Bus,B-13,South District,West District,2.4,23,20,0.24,2.0
2025-02-11,17:00,Bus,B-70,City Center,North District,10.5,32,0,1.05,4.0
2025-02-11,18:15,Metro,M-Red,South District,East District,21.2,474,6,0.64,4.0
2025-02-12,10:15,Bus,B-90,North District,East District,14.0,39,7,1.4,1.0
2025-02-12,10:30,Metro,M-Red,South District,North District,27.8,242,0,0.83,4.0
2025-02-12,20:00,Bus,B-88,West District,East District,11.5,28,0,1.15,3.0
2025-02-13,05:45,Rail,R-Express,East District,West District,51.4,455,3,2.57,4.0
2025-02-13,06:00,Metro,M-Green,North District,West District,16.7,293,0,0.5,2.0
2025-02-13,06:00,Bus,B-69,West District,City Center,7.9,57,28,0.79,3.0
2025-02-13,06:30,Bus,B-37,South District,City Center,10.6,27,16,1.06,3.0
2025-02-13,07:30,Metro,M-Blue,South District,City Center,11.1,459,9,0.33,3.0
2025-02-13,07:45,Metro,M-Yellow,East District,North District,6.0,312,0,0.18,3.0
2025-02-13,12:15,Metro,M-Red,South District,East District,18.1,417,8,0.54,4.0
2025-02-13,13:00,Rail,R-Local,North District,East District,76.8,357,25,3.84,4.0
2025-02-13,14:00,Bus,B-82,East District,South District,13.2,21,13,1.32,2.0
2025-02-14,11:00,Rail,R-Express,West District,South District,54.3,447,16,2.71,4.0
2025-02-14,14:15,Bus,B-10,City Center,West District,14.7,73,0,1.47,
2025-02-14,15:15,Bus,B-61,West District,South District,13.8,51,6,1.38,3.0
2025-02-14,22:30,Bus,B-62,East District,City Center,5.3,52,12,0.53,4.0
2025-02-15,08:15,Shared Cycling,Cycle-Share,South District,North District,3.6,1,0,0.0,5.0
2025-02-15,13:00,Bus,B-17,South District,City Center,9.5,42,5,0.95,2.0
2025-02-16,05:15,Metro,M-Red,North District,City Center,16.9,404,0,0.51,4.0
2025-02-16,12:30,Bus,B-10,North District,East District,6.4,34,32,0.64,3.0
2025-02-16,12:30,Rail,R-Express,South District,North District,64.0,209,5,3.2,3.0
2025-02-16,14:30,Tram,T-1,South District,East District,7.7,91,6,0.31,1.0
2025-02-16,15:45,Shared Cycling,Cycle-Share,East District,North District,0.8,1,0,0.0,5.0
2025-02-16,15:45,Metro,M-Green,South District,West District,6.9,386,0,0.21,3.0
2025-02-16,16:00,Metro,M-Blue,North District,West District,6.6,367,0,0.2,2.0
2025-02-16,20:30,Metro,M-Red,City Center,North District,27.8,284,0,0.83,4.0
2025-02-16,20:45,Metro,M-Green,City Center,North District,19.6,139,3,0.59,4.0
2025-02-16,21:30,Bus,B-96,West District,City Center,10.5,50,1,1.05,4.0
2025-02-16,23:00,Bus,B-46,South District,West District,12.7,63,12,1.27,4.0
2025-02-16,23:30,Bus,B-24,City Center,South District,7.7,36,0,0.77,4.0
2025-02-17,07:45,Metro,M-Green,City Center,South District,29.0,184,0,0.87,3.0
2025-02-17,08:30,Metro,M-Yellow,East District,West District,18.9,290,1,0.57,3.0
2025-02-17,12:15,Metro,M-Blue,East District,West District,24.5,348,9,0.73,3.0
2025-02-17,14:00,Metro,M-Blue,North District,West District,28.7,254,2,0.86,4.0
2025-02-17,14:15,Bus,B-92,East District,North District,14.6,35,0,1.46,3.0
2025-02-17,14:30,Metro,M-Green,East District,City Center,11.9,266,3,0.36,3.0
2025-02-17,14:45,Bus,B-33,City Center,West District,5.2,38,0,0.52,4.0
2025-02-17,15:45,Metro,M-Green,City Center,South District,8.0,402,0,0.24,3.0
2025-02-17,19:15,Tram,T-9,West District,North District,8.1,73,4,0.32,3.0
2025-02-17,23:45,Bus,B-78,City Center,North District,6.7,32,10,0.67,2.0
2025-02-18,08:00,Bus,B-45,East District,North District,8.4,45,15,0.84,5.0
2025-02-18,15:15,Bus,B-18,West District,East District,7.8,58,0,0.78,4.0
2025-02-18,21:15,Metro,M-Yellow,West District,East District,7.9,151,0,0.24,4.0
2025-02-19,05:30,Metro,M-Red,City Center,South District,9.9,402,3,0.3,4.0
2025-02-19,07:30,Metro,M-Blue,South District,East District,18.5,61,0,0.55,4.0
2025-02-19,09:15,Bus,B-78,West District,East District,3.6,57,0,0.36,3.0
2025-02-19,21:30,Metro,M-Blue,West District,South District,15.0,369,0,0.45,3.0
2025-02-19,21:45,Metro,M-Green,South District,West District,18.6,184,0,0.56,3.0
2025-02-19,22:00,Rail,R-Express,West District,City Center,33.5,216,0,1.68,3.0
2025-02-19,23:45,Bus,B-47,City Center,North District,2.3,62,0,0.23,5.0
2025-02-20,08:00,Bus,B-16,West District,City Center,3.1,50,11,0.31,
2025-02-20,14:00,Tram,T-8,South District,West District,7.7,110,16,0.31,3.0
